IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
486,9.009047,54.275550,1,100,1,0
487,8.574071,53.546247,1,50,0,0
488,9.124290,54.197540,1,50,0,0
489,9.124719,54.197547,1,50,0,0
490,9.124791,54.197804,1,50,0,0
491,9.124315,54.197811,1,50,0,0
492,13.638596,52.740872,1,70,1,30
493,13.638253,52.739911,1,70,1,210
494,9.275146,53.013351,1,70,0,0
495,9.367626,53.089644,1,70,1,35
496,12.046553,53.123180,1,50,0,0
497,11.427735,53.596537,1,50,1,0
498,8.623105,53.064972,1,0,1,10
499,10.410730,53.206231,1,70,0,0
500,10.024955,53.530294,1,50,0,0
501,8.618514,53.062974,1,0,1,320
502,10.798893,52.427321,1,50,1,200
503,13.535284,54.075236,1,0,0,0
504,8.738841,53.468638,1,50,0,0
505,9.956406,53.611263,1,50,1,290
506,13.001953,52.880519,1,50,0,0
507,10.572981,52.442098,1,0,1,0
508,13.784436,52.492927,1,0,0,0
509,13.775430,52.481800,1,30,0,0
510,10.406486,53.058109,1,50,1,350
511,9.344856,52.411711,1,50,0,0
512,10.687803,53.851357,1,0,1,240
513,10.656814,53.882353,1,0,1,100
514,10.708019,53.874552,1,0,1,350
515,13.224974,52.809604,1,0,0,0
516,10.541464,52.493647,1,50,1,100
517,10.542046,52.493457,1,50,1,275
518,9.458143,53.586624,1,70,1,140
519,9.458402,53.586296,1,70,1,315
520,13.476376,52.532874,1,50,1,270
521,9.985169,53.649356,1,50,1,120
522,10.475265,52.434758,1,100,1,300
523,12.754415,52.905877,1,70,0,0
524,12.779805,52.915423,1,50,0,0
525,13.371683,52.505334,1,50,1,141
526,13.310642,52.567897,1,50,1,280
527,9.464594,52.428935,1,50,0,0
528,9.870315,53.471663,1,0,0,0
529,12.782752,52.483454,1,0,0,0
530,10.660372,53.878729,1,0,0,0
531,11.911921,54.080027,1,50,1,0
532,13.330906,52.490995,1,50,1,160
533,8.966418,53.057785,1,0,1,245
534,12.724577,54.335901,1,80,0,0
535,13.402804,52.463449,1,50,1,80
536,13.145805,52.656371,1,50,0,0
537,12.983478,52.963614,1,0,0,0
538,8.839899,52.680948,1,0,0,0
539,8.633210,53.052044,1,0,1,0
540,8.632862,53.053179,1,0,1,335
541,8.609360,53.049192,1,0,1,280
542,8.639035,53.043726,1,0,1,160
543,8.647817,53.036533,1,0,1,155
544,13.369859,52.523184,1,50,1,320
545,13.369804,52.523156,1,50,1,320
546,13.369758,52.523187,1,50,1,320
547,13.369816,52.523210,1,50,1,320
548,11.397898,53.628869,1,50,1,15
549,10.788634,53.910285,1,70,1,250
550,9.375422,53.298157,1,50,0,0
551,9.438396,53.289781,1,70,0,0
552,9.860480,52.516990,1,70,1,0
553,8.627960,53.529897,1,30,0,0
554,8.591080,53.518478,1,50,1,0
555,8.595219,53.565489,1,50,1,0
556,9.732815,52.420821,1,50,1,45
557,9.979581,53.714286,1,50,0,0
558,13.266886,52.707236,1,50,0,0
559,13.182488,52.685574,1,50,0,0
560,9.791159,52.469081,1,50,0,0
561,13.316431,52.464443,1,30,0,0
562,13.489664,52.533854,1,50,1,80
563,14.138642,53.889645,1,30,1,215
564,12.716010,54.069358,1,0,0,0
565,9.760213,53.546013,1,50,0,0
566,13.302304,52.498989,1,50,1,270
567,13.444588,52.462882,1,0,0,0
568,13.011173,52.702164,1,100,1,190
569,13.900547,52.589249,1,30,0,0
570,10.797074,53.913162,1,70,0,0
571,13.590236,54.414156,1,0,0,0
572,9.803558,53.376675,1,50,0,0
573,13.574286,52.554733,1,50,1,15
